transaction_id,date,time,hour,day_of_week,month,month_num,amount,category,merchant,sender_upi,receiver_upi,status,is_anomaly,payment_mode
GP0000001,2024-04-05,02:33:27,2,Friday,April,4,11174.95,Shopping,Amazon,user2679@okicici,amazon@okaxis,Success,False,GPay UPI
GP0000002,2024-01-13,08:14:09,8,Saturday,January,1,29729.38,Bank Transfer,Personal Transfer,user4582@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000003,2024-10-05,01:47:11,1,Saturday,October,10,569.02,Recharge,Airtel,user9928@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000004,2024-12-03,14:27:58,14,Tuesday,December,12,2925.27,Education,Vedantu,user3615@okicici,vedantu@okaxis,Success,False,GPay UPI
GP0000005,2024-10-23,12:16:51,12,Wednesday,October,10,550.89,Groceries,JioMart,user2519@okicici,jiomart@okaxis,Success,False,GPay UPI
GP0000006,2024-11-09,10:58:50,10,Saturday,November,11,1850.81,Groceries,JioMart,user8527@okicici,jiomart@okaxis,Success,False,GPay UPI
GP0000007,2024-11-18,02:36:42,2,Monday,November,11,1126.48,Healthcare,Apollo Pharmacy,user6925@okicici,apollo.pharmacy@okaxis,Success,False,GPay UPI
GP0000008,2024-10-27,05:31:09,5,Sunday,October,10,9986.7,Shopping,Amazon,user2307@okicici,amazon@okaxis,Success,False,GPay UPI
GP0000009,2024-09-03,21:00:30,21,Tuesday,September,9,4314.01,Shopping,Meesho,user3664@okicici,meesho@okaxis,Success,False,GPay UPI
GP0000010,2024-12-29,18:15:12,18,Sunday,December,12,228.24,Transport,RedBus,user2169@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000011,2024-03-04,11:01:17,11,Monday,March,3,3672.72,Utilities,Broadband,user5422@okicici,broadband@okaxis,Success,False,GPay UPI
GP0000012,2024-11-23,07:56:57,7,Saturday,November,11,34388.41,Bank Transfer,Family Transfer,user1916@okicici,family.transfer@okaxis,Success,False,GPay UPI
GP0000013,2024-04-13,23:31:33,23,Saturday,April,4,507.41,Food & Dining,Burger King,user6155@okicici,burger.king@okaxis,Success,False,GPay UPI
GP0000014,2024-09-06,15:48:49,15,Friday,September,9,8868.89,Education,Unacademy,user5339@okicici,unacademy@okaxis,Success,False,GPay UPI
GP0000015,2024-06-15,09:17:33,9,Saturday,June,6,37477.18,Bank Transfer,Friend Transfer,user7543@okicici,friend.transfer@okaxis,Failed,False,GPay UPI
